#,Company,Official website,Contact-form URL,Relevant roster niches,Personalized opening sentence,Submission status,Submission date and time (UTC),Confirmation message or reference,Public contact email,Notes or blocker
1,Repulse Media,https://www.repulsemedia.com/,https://www.repulsemedia.com/apply (Brand / Agency tab),"Viral challenges, Roblox/family gaming, Minecraft/GTA gaming, comedy skits, slime/satisfying, Twitch IRL (per homepage)",—,Skipped — unsuitable,,,None found,"Site credibility concerns: claims 'EST. 2026' yet '$280M+ generated for our creators in 2026' and '120+ creators'; testimonials attributed to unverifiable names; footer Brands/Contact links are dead '#'. The only form is a combined Creator/Brand 'Apply' form. Not submitted, needs manual verification before any contact."
2,GG Talent Group,https://www.ggtalentgroup.com/,https://www.ggtalentgroup.com/contact,"Gaming (Twitch streamers/YouTubers), VTubers, speedrunning, esports pro players, ASMR","I came across your roster and noticed that you represent creators across gaming, Twitch streaming, VTubing, speedrunning and ASMR, including talent producing substantial long-form video content.",Submitted,2026-09-25 00:58,"Redirected to /thank-you: ""THANK YOU — We will be in touch soon.""",info@ggtalentgroup.com,'Where did you find us?' (required) set to Other. The page has a Webflow reCAPTCHA placeholder flagged as disabled / invalid key. No challenge was shown and nothing was bypassed. Roster is mostly Twitch-first; long-form comes mainly from stream VODs and YouTube uploads.
3,Ritual Network,https://www.ritualnetwork.com/,None suitable (only 'Join Ritual' creator/content-owner sign-up form on /content-owners; /contact returns 404),"Gaming, music, sport, ASMR (site verticals)",—,Email only,,,team@ritualnetwork.com,"Describes itself as a 'Leading MCN' and runs YouTube Content ID monetisation for rights holders, which overlaps with content monetisation (possible competitor / existing capability). No business contact form. Email not sent."
4,MVE Management,https://www.mvemanagement.com/,https://www.mvemanagement.com/contact,"Comedy, sports, entertainment, broadcast, digital, scripted (roster categories; full roster is request-only). Case studies include YouTubers George Clarke and Nigel Ng (Uncle Roger)","I came across your roster and noticed that you represent creators across comedy, sports, entertainment, broadcast and digital, including talent producing substantial long-form video content.",Submitted,2026-09-25 00:57,"""THANK YOU — We've received your message and will be in touch shortly.""",hello@mvemanagement.com,"Enquiry type selected: Brand Partnership. No subject field, so the subject line was placed at the top of the message. Cookie banner: optional cookies rejected."
5,Connect Management,https://connectmgt.com/,https://connectmgt.com/management/enquiry (Brand tab),"Form categories: fashion & beauty, family & couples, food, lifestyle, travel, music, comedy, entertainment, sports & fitness (social-first / Instagram-TikTok-led)",—,Blocked,,,info@connectmgt.com (also +44 208 103 9952 listed),Blocked — missing required information: Brand enquiry form requires Phone Number and Project Budget. The Talent path also requires a phone number and is a creator form. Not submitted.
6,Creator Economy Group,https://creatoreconomygroup.co.uk/,https://creatoreconomygroup.co.uk/brands/ (brief form),"No public roster. Site lists gaming, esports, entertainment, comedy, lifestyle, tech and sport categories, and offers platform deals and licensing for creators","I came across Creator Economy Group and noticed your focus on helping creators build revenue and careers beyond any one platform, including platform deals and licensing.",Submitted,2026-09-25 00:58,"""brief received ... ok > thanks, kayla. we have got it.""",contact@creatoreconomygroup.co.uk,"Used the brand/commercial brief form: campaign type 'Talent partnership', budget 'Prefer to discuss', phone left blank (optional). Opening sentence adapted because there is no public roster to confirm niches."
7,Colossal Influence,https://www.colossalinfluence.com/,Not reachable,Not verified (site inaccessible),—,Blocked,,,None found,The site returns HTTP 401 and a 'Security Verification' bot challenge ('Verification could not be completed'). Not bypassed. Needs a manual visit in a normal browser.
8,GLTCH Group,https://gltchgroup.media/,"None (single-page site, mailto links only)","Gaming & esports (Minecraft, Fortnite, FIFA, mobile gaming YouTube/Twitch creators)",—,Email only,,,contact@gltchgroup.com (general); talent@gltchgroup.com ('Get in touch'),Full-service gaming & esports marketing agency with talent management. No web form. Email not sent.
9,Rootbeat,https://rootbeat.com/,None (email only; 'contact us on info@rootbeat.com and request the brochure'),"Dutch gaming and tech YouTubers/Twitch streamers (e.g. Yarasky, SerpentGameplay), plus a cooking creator",—,Email only,,,info@rootbeat.com,Amsterdam-based publisher and management agency. Strong long-form gaming fit. No web form. Email not sent.
10,LunyOne (LunyOne Creators),https://creators.lunyone.de/,"https://creators.lunyone.de/#contact (Fluent Forms conversational form: Company/Influencer, Name, Email, Company, Message)","DACH gaming & entertainment: Let’s Plays, competitive gameplay, variety streaming. Long-form YouTube and Twitch focus","I came across your roster and noticed that you represent creators across gaming and entertainment in the DACH region (Let’s Plays, competitive gameplay and variety streaming on YouTube and Twitch), including talent producing substantial long-form video content.",Blocked,,,None found,"The site sits behind SiteGround bot verification (/.well-known/sgcaptcha/). After the first load, the verification kept the form from rendering, so it could not be completed. Not submitted and not bypassed. High-priority fit (long-form gaming): complete manually with the prepared message and choose 'Company'."
11,Ace Creators,https://ace-creators.com/,https://ace-creators.com/contact,"Gaming, pop culture, comedy, movie & TV, tech, Twitch, podcasts. Dedicated 'YouTube creators' roster described as long-form gaming, comedy and pop culture","I came across your roster and noticed that you represent creators across gaming, pop culture, comedy, movie and TV, tech and podcasts, including talent producing substantial long-form video content.",Submitted,2026-09-25 01:12,"""MESSAGE SENT — We'll be in touch. Thanks for reaching out. The team will reply from partnerships@ace-creators.com shortly.""",partnerships@ace-creators.com,"Sydney-based. No subject field, so the subject line was placed at the top of the message."
12,Click Media (CLICK),https://www.clickmedia.group/,https://www.clickmedia.group/ ('Start the Conversation' HubSpot form; /contact returns 404),"Gaming & esports (Fortnite, Twitch/YouTube creators), pop culture. Part of the GameSquare ecosystem (FaZe Clan, Code Red, TubeBuddy, Stream Hatchet)",—,Blocked,,,info@clickmedia.group,Blocked — missing required information: the HubSpot form requires Location and Website URL (no verified ClearAxis website or location was provided). Not submitted.
13,InterTalent,https://www.intertalentgroup.com/,None for business enquiries (the only form is the scripted-actors representation application),"Creators, comedy (incl. digital-first comedy), gaming, sport, music, broadcast/entertainment, scripted",—,Email only,,,brands@intertalentgroup.com (brand partnership enquiries); switchboard +44 (0)20 7462 9060,London. Business enquiries go by email. Email not sent.
14,M+C Saatchi Talent,https://www.mcsaatchitalent.com/,https://www.mcsaatchitalent.com/contact/?modal=yes,"Broadcast, social/digital-first talent, football content creators, entertainment, podcasts, publishing, live",—,Blocked,,,None found on site,Blocked — missing required information: the enquiry form (Broadcast/Social/Football) requires a Phone number. Not submitted.
15,Independent Talent Digital,https://www.independenttalent.com/digital/,https://www.independenttalent.com/digital/ ('Independent Talent Digital Contact Form'),"Social media / influencer creators, with commercial partnerships, content commissioning, books, tours and licensing (roster link on site returns 404)",I came across Independent Talent Digital and noticed that you represent creators across the digital space and already partner talent with commissioners and platforms.,Ready for CAPTCHA,,,louise@intalentdigital.com (appears in page source),"Gravity Forms with a reCAPTCHA v2 checkbox. To finish manually, fill Name, Email, Subject 'Distribution opportunity for Independent Talent Digital’s creator roster' (under the 90-character limit), Message = default message with the opener above, then tick the CAPTCHA. Phone is optional."
16,Sharper Group,https://www.sharpergrp.com/,https://www.sharpergrp.com/talent-contact (brands/agencies form),"Entertainment, football, family and lifestyle YouTube/social creators (e.g. Joe Tasker, Mikey Cobban, Ashley Glazebrook)","I came across your roster and noticed that you represent creators across entertainment, football, family and lifestyle, including talent producing substantial long-form video content.",Ready for CAPTCHA,Attempted 2026-09-25 01:19 (not accepted),"Site response: ""Captcha validation failed. Please try again.""",info@sharpergrp.com,"Squarespace form with invisible reCAPTCHA Enterprise, which rejected the automated submission. The enquiry was NOT received. Not retried. Complete manually in a normal browser: First/Last name, Email, Subject, Message; leave the newsletter box unticked."
17,Shine Talent Group,https://shinetalentgroup.com/,https://shinetalentgroup.com/contact,"Fashion, beauty, health & wellness, lifestyle, entertainment, gaming (300+ creators across US, Canada and Europe)",—,Blocked,,,hello@shinetalentgroup.com,Blocked — missing required information: the contact form requires a 'Social Handle' and no verified ClearAxis handle was provided. Reason options: Management/Partnerships/Other. Not submitted.
18,Ours Agency,https://www.oursagency.co.uk/,https://www.oursagency.co.uk/ ('Let's Connect' form),"Fashion, beauty, lifestyle, education, comedy, automotive, travel, entertainment, family (25 UK creators listed)","I came across your roster and noticed that you represent UK digital creators across fashion, beauty, lifestyle, education, comedy, travel and family content.",Submitted,2026-09-25 01:25,"""Message sent successfully! Thank you for reaching out. We'll review your message and get back to you within 24 hours.""",hello@oursagency.co.uk,"Roster is mainly social-first (short-form), so the long-form claim was left out of the opener. Lower-priority fit."
19,HN MGMT,https://hnmgmt.co.uk/,—,Not verified,—,Website unavailable,,,None found,Connection reset by peer on both hnmgmt.co.uk and www.hnmgmt.co.uk (browser: 'upstream request failed'). Could be down or blocking this network. Retry manually.
20,Nevaro Talent,https://nevarotalent.com/,https://nevarotalent.com/contact.html,"UK social creators and creator duos (e.g. Jack Joseph, Nan's Favourites, Lloyd & Matt). Niches not stated on site","I came across your roster and noticed that you represent a range of UK creators and creator duos with large, established social audiences.",Submitted,2026-09-25 01:24,Formspree AJAX form reset after sending (the script resets only when the response is OK). The 3-second 'Thank you! We'll get back to you within 24 hours.' banner had closed before capture.,contact@nevarotalent.com,"'I am a...' set to 'Other enquiry'. Phone left blank (optional). Roster looks mainly short-form, so the long-form claim was left out."
21,Breakout Media Group,https://breakoutmediagroup.com/,https://breakoutmediagroup.com/brands ('Partner with Us'),One featured creator: a variety Twitch streamer with 1.7K followers,—,Skipped — unsuitable,,,hello@breakoutmediagroup.com,"Site shows literal 'Placeholder testimonial' text with 'Creator name — 4.2M subscribers', a single 1.7K-follower featured creator and a free 'content breakdown' lead magnet. No established long-form roster; looks early-stage or unfinished."
22,BOSS MGMT,https://www.bossmgmtgrp.com/,https://www.bossmgmtgrp.com/contact,"Digital talent across YouTube, TikTok and Instagram (BOSS Talent division); also tour liaison, digital and media divisions. No individual roster published","I came across BOSS MGMT and noticed that you partner with digital talent across YouTube, TikTok and Instagram.",Ready for CAPTCHA,,,contact@bossmgmtgrp.com (+1 323 577 7110 listed),"Webflow form protected by Cloudflare Turnstile. Not submitted. The 'Project description' field is single-line with a 256-character limit, so use this shortened message: ""Kayla, ClearAxis: we distribute and monetize creators' existing long-form catalogues on Roku, Fire TV, Samsung TV Plus, Pluto TV and Tubi (no new content needed). Open to a roster-level partnership? Approval not guaranteed."" Phone and Website URL are optional; leave blank."
23,The Comedy Influence,https://www.thecomedyinfluence.com/,https://www.thecomedyinfluence.com/contact,"Comedy and entertainment creators (UK's only comedy-focused creator agency; e.g. Ski Comedy, Emmanuel Sonubi, Durk & Ski)","I came across your roster and noticed that you represent creators across comedy and entertainment, including talent producing substantial long-form video content.",Ready for CAPTCHA,,,info@thecomedyinfluence.com (+44 (0)20 3137 2927),"Webflow form with a reCAPTCHA v2 checkbox. To finish manually, set Type of Enquiry to 'Brand Partnerships' and answer 'How did you hear about us?' (required, no 'Other' option) with whichever option is actually true."
24,Spires Agency,https://www.spiresagency.com/,https://www.spiresagency.com/about-us (Squarespace email + message form),"European gaming creators: VALORANT, Fortnite, Rocket League, Escape from Tarkov, Rust, DayZ, chess, variety streaming, IRL/travel","I came across your roster and noticed that you represent creators across European gaming (VALORANT, Fortnite, Rocket League, Escape from Tarkov, Rust and more), variety streaming and IRL/travel, including talent producing substantial long-form video content.",Ready for CAPTCHA,Attempted 2026-09-25 01:30 (not accepted),"Site response: ""Captcha validation failed. Please try again.""",hello@spiresagency.com,"Invisible reCAPTCHA rejected the automated submission, so the enquiry was NOT received. Not retried. Complete manually (Email + Message only). Strong gaming fit."
25,AMG,https://www.amg.gg/,Not reachable,Not verified (site inaccessible),—,Blocked,,,None found,The site redirects to a SiteGround 'Robot Challenge Screen' (/.well-known/sgcaptcha/). Not bypassed. Needs a manual visit.
26,ThirdRail Avenue,https://www.thirdrailavenue.com/,https://www.thirdrailavenue.com/ ('Work With Us' form),"Gaming, mainly Clash Royale creators on YouTube and Twitch (6 exclusive creators, e.g. Ian77, Ryley)","I came across your roster and noticed that you exclusively represent gaming creators on YouTube and Twitch, with a strong focus on Clash Royale.",Submitted,2026-09-25 01:29,"Redirected to /thank-you: ""Message received — Thanks for reaching out. Our team will be in touch shortly.""",None found,'I am a...' set to 'Something else'. Small roster (6 creators); the site labels its case studies as illustrative examples.
27,The Gold Arena,https://www.thegoldarena.com/,https://www.thegoldarena.com/ ('Let's Chat' Squarespace form),"Sports and gaming: gaming streamers, marathon runners, fitness coaches, sports commentators (300+ creators across US, Canada and UK; site explicitly mentions long-form YouTube)","I came across your roster and noticed that you represent creators across sports and gaming, from gaming streamers to marathon runners, fitness coaches and sports commentators, including talent producing substantial long-form video content.",Ready for CAPTCHA,Attempted 2026-09-25 01:30 (not accepted),"Site response: ""Captcha validation failed. Please try again.""",Hello@TheGoldArena.com (cc Drew@TheGoldStudios.com on the roster-request mailto),"Invisible reCAPTCHA rejected the automated submission, so the enquiry was NOT received. Not retried. Complete manually (First/Last name, Email, Subject, Message). Part of The Gold Studios Group."
28,Watchable Talent,https://www.watchabletalent.com/,https://www.watchabletalent.com/ ('Send a brief'),"Beauty, fitness, family, food, travel, construction & trade (UGC / on-camera talent)",—,Skipped — unsuitable,,,None captured,"New agency still 'building our launch roster'. Focus is UGC, paid social, training videos and AI influencers, with no established long-form creators or back catalogues."
29,Verda Talent,https://www.verdatalent.com/,'Get in touch' (not used),Independent YouTube production & creators (full roster by request only),—,Possible competitor,,,None found,Possible competitor/existing capability: offers its own 'Distribution' service ('Let your content speak to the world': localization teams in high-performing countries and multi-platform distribution) alongside YouTube production and talent management. Not submitted automatically.
